bls_occupation,bls_year,total_employed_thousands,percent_women,women_share,percent_white,percent_black,percent_asian,percent_hispanic_or_latino,source_url
Supervisors of personal care and service workers,2022,232.0,77.8,0.778,68.7,13.8,14.2,12.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Animal trainers,2022,66.0,67.6,0.6759999999999999,93.5,0.0,2.0,5.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Animal caretakers,2022,305.0,76.9,0.769,88.1,3.6,3.3,12.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Gambling services workers,2022,74.0,41.5,0.415,66.1,8.3,20.6,7.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Other entertainment attendants and related workers,2022,237.0,46.2,0.462,79.5,10.3,4.5,19.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Barbers,2022,123.0,24.8,0.248,58.4,27.1,9.8,40.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Hairdressers, hairstylists, and cosmetologists",2022,720.0,93.1,0.9309999999999999,78.6,13.7,6.0,18.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Manicurists and pedicurists,2022,295.0,85.1,0.851,24.5,7.6,65.4,15.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Skincare specialists,2022,96.0,98.7,0.987,78.8,4.4,7.5,21.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Baggage porters, bellhops, and concierges",2022,78.0,35.7,0.35700000000000004,71.7,20.0,6.9,16.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Tour and travel guides,2022,58.0,47.9,0.479,84.9,6.3,4.1,5.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Childcare workers,2022,1007.0,94.3,0.943,77.6,13.5,3.7,23.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Exercise trainers and group fitness instructors,2022,234.0,62.9,0.629,81.8,11.1,3.5,12.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Recreation workers,2022,158.0,61.2,0.612,79.5,15.1,1.8,11.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Personal care and service workers, all other",2022,122.0,64.7,0.647,85.1,7.6,4.0,19.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Sales and office occupations,2022,30412.0,61.3,0.613,77.7,13.1,5.4,17.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Sales and related occupations,2022,14316.0,49.4,0.494,79.6,11.0,5.7,17.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
First-line supervisors of retail sales workers,2022,3081.0,45.2,0.452,78.5,10.8,6.7,15.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
First-line supervisors of non-retail sales workers,2022,1203.0,35.2,0.35200000000000004,82.5,7.7,6.5,15.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Cashiers,2022,2712.0,71.8,0.718,71.9,16.2,6.6,24.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Counter and rental clerks,2022,83.0,40.8,0.408,88.1,8.0,1.6,23.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Parts salespersons,2022,108.0,16.9,0.16899999999999998,93.9,3.0,0.5,19.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Retail salespersons,2022,2582.0,49.4,0.494,79.6,12.1,4.6,18.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Advertising sales agents,2022,130.0,52.1,0.521,85.6,7.8,5.4,9.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Insurance sales agents,2022,614.0,49.2,0.49200000000000005,78.2,13.5,4.3,16.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Securities, commodities, and financial services sales agents",2022,226.0,30.3,0.303,83.8,6.5,9.1,9.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Travel agents,2022,71.0,81.9,0.8190000000000001,78.1,14.7,6.7,6.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Sales representatives of services, except advertising, insurance, financial services, and travel",2022,615.0,29.0,0.29,86.3,6.2,4.5,10.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Sales representatives, wholesale and manufacturing",2022,1155.0,28.7,0.287,87.5,6.3,4.3,13.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Real estate brokers and sales agents,2022,1182.0,56.9,0.569,82.4,8.4,5.7,13.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Sales engineers,2022,51.0,8.1,0.081,85.2,0.2,13.1,5.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Door-to-door sales workers, news and street vendors, and related workers",2022,73.0,57.4,0.574,87.0,5.9,2.0,26.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Sales and related workers, all other",2022,369.0,59.2,0.5920000000000001,81.5,10.2,4.8,18.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Office and administrative support occupations,2022,16096.0,71.9,0.7190000000000001,76.0,15.0,5.1,18.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
First-line supervisors of office and administrative support workers,2022,1199.0,67.9,0.679,80.5,12.3,3.9,15.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Bill and account collectors,2022,103.0,68.8,0.688,75.0,20.6,3.6,9.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Billing and posting clerks,2022,463.0,87.6,0.8759999999999999,77.0,14.8,4.4,17.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Bookkeeping, accounting, and auditing clerks",2022,1132.0,85.0,0.85,82.5,8.7,5.7,14.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Payroll and timekeeping clerks,2022,126.0,92.4,0.924,80.0,11.2,5.0,24.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Tellers,2022,218.0,83.1,0.831,79.8,9.4,6.2,21.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Financial clerks, all other",2022,128.0,52.0,0.52,76.8,13.2,7.0,14.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Court, municipal, and license clerks",2022,84.0,83.8,0.838,71.3,24.8,0.4,13.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Customer service representatives,2022,2714.0,64.8,0.648,73.0,17.6,5.5,19.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Eligibility interviewers, government programs",2022,80.0,75.0,0.75,61.1,24.6,6.2,22.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
File Clerks,2022,127.0,78.6,0.7859999999999999,73.9,15.0,4.1,17.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Hotel, motel, and resort desk clerks",2022,132.0,66.5,0.665,64.8,15.3,8.8,24.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Interviewers, except eligibility and loan",2022,171.0,78.0,0.78,70.4,18.7,4.0,19.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Library assistants, clerical",2022,76.0,78.5,0.785,77.0,7.9,14.5,8.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Loan interviewers and clerks,2022,169.0,68.8,0.688,83.6,11.9,2.7,15.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Order clerks,2022,124.0,54.2,0.542,68.5,14.5,12.7,18.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Human resources assistants, except payroll and timekeeping",2022,89.0,89.1,0.8909999999999999,70.6,17.9,7.2,7.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Receptionists and information clerks,2022,1171.0,90.3,0.903,76.8,15.5,3.9,21.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Reservation and transportation ticket agents and travel clerks,2022,112.0,43.1,0.431,66.9,20.4,8.4,21.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Information and record clerks, all other",2022,93.0,74.5,0.745,72.4,17.1,7.6,18.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Couriers and messengers,2022,936.0,26.5,0.265,69.8,21.6,4.4,23.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Public safety telecommunicators,2022,82.0,82.5,0.825,72.3,18.4,3.1,11.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Dispatchers, except police, fire, and ambulance",2022,181.0,58.9,0.589,78.0,17.8,2.0,22.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Postal service clerks,2022,107.0,56.1,0.561,51.7,40.4,5.3,11.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Postal service mail carriers,2022,280.0,41.5,0.415,69.0,22.4,6.5,11.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Postal service mail sorters, processors, and processing machine operators",2022,59.0,56.6,0.5660000000000001,43.2,38.5,14.6,8.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Production, planning, and expediting clerks",2022,212.0,48.9,0.489,76.3,11.3,7.8,11.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Shipping, receiving, and inventory clerks",2022,645.0,37.1,0.371,75.9,13.3,7.5,28.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
