bls_occupation,bls_year,total_employed_thousands,percent_women,women_share,percent_white,percent_black,percent_asian,percent_hispanic_or_latino,source_url
Stationary engineers and boiler operators,2022,85.0,3.3,0.033,77.9,12.4,6.5,13.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Water and wastewater treatment plant and system operators,2022,93.0,6.7,0.067,88.1,8.8,0.6,11.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Chemical processing machine setters, operators, and tenders",2022,73.0,9.7,0.09699999999999999,79.6,12.6,3.0,18.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Crushing, grinding, polishing, mixing, and blending workers",2022,76.0,10.5,0.105,81.3,9.2,3.2,28.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Cutting workers,2022,57.0,28.0,0.28,67.8,24.3,3.7,22.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Inspectors, testers, sorters, samplers, and weighers",2022,781.0,38.6,0.386,74.4,13.7,8.0,18.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Jewelers and precious stone and metal workers,2022,65.0,47.2,0.47200000000000003,76.4,3.8,12.6,23.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Dental and ophthalmic laboratory technicians and medical appliance technicians,2022,95.0,43.3,0.433,77.9,12.0,9.2,23.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Packaging and filling machine operators and tenders,2022,304.0,52.5,0.525,66.8,23.8,4.7,41.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Painting workers,2022,173.0,14.5,0.145,84.0,10.2,0.9,40.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Helpers--production workers,2022,65.0,31.0,0.31,70.2,16.5,4.8,25.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Other production workers,2022,1246.0,29.0,0.29,74.5,18.5,4.1,25.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Transportation and material moving occupations,2022,11826.0,21.8,0.218,70.9,20.3,4.4,24.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Supervisors of transportation and material moving workers,2022,312.0,24.2,0.242,72.8,14.8,5.8,19.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Aircraft pilots and flight engineers,2022,187.0,9.2,0.092,95.7,2.6,1.6,9.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Flight attendants,2022,116.0,69.9,0.6990000000000001,78.4,11.1,6.5,12.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Bus drivers, school",2022,250.0,52.0,0.52,74.7,19.9,3.3,14.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Bus drivers, transit and intercity",2022,245.0,39.7,0.397,57.5,36.6,2.9,12.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Driver/sales workers and truck drivers,2022,3539.0,8.1,0.081,74.1,18.3,4.0,23.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Shuttle drivers and chauffeurs,2022,59.0,16.2,0.162,60.6,26.1,2.6,26.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Taxi drivers,2022,455.0,13.0,0.13,50.0,26.3,20.0,23.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Motor vehicle operators, all other",2022,193.0,28.5,0.285,62.1,28.2,4.9,18.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Locomotive engineers and operators,2022,52.0,3.8,0.038,71.0,17.2,3.5,3.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Parking attendants,2022,68.0,14.6,0.146,63.2,26.2,9.3,30.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Transportation service attendants,2022,91.0,17.5,0.175,69.2,12.9,6.7,15.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Crane and tower operators,2022,60.0,0.7,0.006999999999999999,91.4,7.0,0.5,13.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Industrial truck and tractor operators,2022,636.0,10.5,0.105,68.7,24.9,1.4,31.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Cleaners of vehicles and equipment,2022,350.0,18.9,0.18899999999999997,73.5,19.5,2.4,36.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Laborers and freight, stock, and material movers, hand",2022,2244.0,22.4,0.22399999999999998,70.5,21.5,3.0,27.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Packers and packagers, hand",2022,719.0,52.9,0.529,68.8,21.8,4.8,37.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Stockers and order fillers,2022,1722.0,37.5,0.375,70.0,20.3,4.8,22.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Refuse and recyclable material collectors,2022,112.0,10.6,0.106,69.6,25.8,1.6,26.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Other material moving workers,2022,55.0,17.4,0.174,67.1,23.8,2.4,23.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
